rank,stock_code,name,closing_price,market_cap,score,mom_20d,drawdown_from_high,volume_surprise,past_glory_1y,fallen_angel_score,vcp_score
160,034020,두산중공업,92000,58931625432000,0.2615969620516485,0.21212121212121215,-0.06218144750254839,0.8820503507429968,3.9495459132189703,0.0,0.0
161,003160,디아이,34850,986255000000,0.2593863007253836,0.6555819477434679,-0.015536723163841804,0.8505392989733236,2.2566697332106718,0.0,0.0
162,036810,에프에스티,49550,1087937043400,0.25909652724315174,0.4279538904899136,-0.004020100502512558,2.477467163659233,2.1368221941992434,0.0,0.0
163,000100,유한양행,109700,8772537538900,0.25839347170384636,-0.04774305555555558,-0.22032693674484716,1.3257990692953958,0.40139442231075706,0.0,0.0
164,000720,현대건설,105700,11770304360500,0.2566410817828052,0.51,-0.13360655737704918,0.5545886295147097,3.7378640776699026,0.0,0.0
165,088980,맥쿼리인프라,11190,5359137101670,0.2553781972514345,-0.02864583333333337,-0.07290803645401822,1.6113932260019248,0.17526777020447915,0.0,0.0
166,101490,에스앤에스텍,92800,1979876771200,0.2551282878871588,0.9393939393939394,-0.033333333333333326,1.8462999069001107,2.5424354243542435,0.0,0.0
167,028050,삼성엔지니어링,32150,6301400000000,0.25283983013462386,0.2989898989898989,-0.0061823802163832875,2.3699184295136075,0.9749694749694751,0.0,0.0
168,004170,신세계,297500,2869441347500,0.2527637963333439,0.17125984251968496,-0.016528925619834656,2.1712302298095123,1.3614363778298206,0.0,0.0
169,348340,뉴로메카,95700,1147360410900,0.25120248626360114,1.8439821693907876,-0.3115107913669065,1.8648465404238517,5.953476738369185,1.8545722501538542,0.0
170,489790,한화비전,55700,2812203323000,0.25053605263913714,0.2804597701149425,-0.21988795518207283,0.9343796043039498,1.4536082474226806,0.0,0.0
171,018880,한온시스템,3395,3484161364040,0.2494655984258131,0.13735343383584597,-0.31483350151362255,1.1176426390575267,0.7985480943738656,0.0,0.0
172,263750,펄어비스,55100,3540056810500,0.24943357904782537,0.4752342704149932,-0.014311270125223596,3.4033394523025637,1.0107913669064748,0.0,0.0
