rank,stock_code,name,closing_price,market_cap,pe,pb,roe,gpa,debt_ratio,score
125,215600,신라젠,3830,529037271880,49.215671125782364,4.4908604818200635,-0.138829660158937,0.0671325699890993,0.0558412685393667,0.5005285073449874
126,443060,HD현대마린솔루션,185400,8311729509000,42.392298277572436,10.648088661651354,0.25117979195019735,0.2857136726711494,0.5028857325655498,0.5002683544125599
127,009420,한올바이오파마,52500,2742633495000,3973.587707162709,17.396661553047394,0.00437807413227309,0.3081749024742488,0.28014174751298143,0.5001681415476338
128,004370,농심,409500,2490841899000,17.8957728144806,0.8992707043682048,0.0502504537630556,0.20327398322683934,0.3450386673080473,0.49998297179370926
129,347850,디앤디파마텍,99300,4323068199000,234.53640941373115,57.73513109403021,-0.34497331257542907,0.08479388826244716,0.2445352374597114,0.49967302793416474
130,018880,한온시스템,3395,3484161364040,198.0375116557092,1.140245687294441,0.00575772578518747,0.0692835622762083,2.4567067858390645,0.49921415571068656
131,192650,드림텍,8060,555253730460,62.294609932020194,1.1681758110767841,0.01875243800950951,0.11820740795807948,0.8748937917982693,0.4987946854438892
132,089010,켐트로닉스,36200,591483492600,38.3944462316687,2.4152335433682155,0.06290580488633457,0.11431000483368842,2.0067424947160646,0.49813694430253697
133,004020,현대제철,32400,4323643434000,5263.004336952708,0.22146823245065975,4.2080191896419826e-05,0.03379586803401313,0.7111099483921093,0.4980986622853739
134,068760,셀트리온제약,74000,3232462080000,441.9938511352967,10.676855710943267,0.02415611819829372,0.043075898959035484,0.8922903454124944,0.4972794761157351
135,017960,한국카본,34850,1809009552200,35.3228899545971,3.441490762040099,0.0974294789147683,0.10904997296037545,0.7719956800453677,0.49662699522068604
136,034020,두산중공업,92000,58931625432000,386.1229258307999,4.966347701494751,0.012862089685063192,0.07208239573747176,1.2777237681176519,0.49614423097588123
137,000270,기아차,149700,58444825800600,9.607465489065753,0.9946488566031002,0.1035287462375076,0.17722518160107775,0.6675430449211788,0.4958716908001035
138,195940,HK이노엔,54500,1543979059500,43.07719636719642,1.3340008034925395,0.030967679329019428,0.14878461411836413,0.5361314383642996,0.49552003040804943
139,012510,더존비즈온,90000,2734450560000,51.59494472580381,4.639972333481644,0.08993075500207073,0.1431976419129388,0.8204922283432252,0.4955159992543244
140,018260,삼성에스디에스,176500,13657181700000,22.962401281408972,1.367634487084811,0.05955973290093522,0.11833473484912584,0.32533083017161696,0.49522374801944097
141,347700,라이프시맨틱스,22450,1052285110600,50.015269745303534,15.59037950108712,0.3117123946442589,0.09534755290090115,0.7832870229375614,0.4947496822066281
142,003620,쌍용차,3980,805452149760,227.4135851216398,0.5548867656359985,0.002439989525424344,0.09614081016930032,1.329884975431984,0.49443643618200545
143,373220,LG에너지솔루션,431000,100854000000000,118.19649960036284,3.3915068871257117,0.02869380141199461,0.05165179041371771,1.253417400359899,0.49392722437506015
144,050890,쏠리드,8260,501848970840,54.20058534075927,1.5550047355122034,0.02868981443163175,0.15304462346782996,0.5676672188191872,0.4936988263097832
145,086900,메디톡스,138000,1007192586000,53.81426050498674,2.153712420868125,0.04002122115323966,0.18249258930568943,0.25501145400512676,0.49352843679332836
146,420770,기가비스,55200,699701841600,220.8532230885764,3.521002207040801,0.01594272502705859,0.05153216770795551,0.16347346492156153,0.4929192348770414
147,267270,현대건설기계,107300,5147622861400,75.12017425363048,2.7048087281690325,0.036006422443013865,0.15822487083016293,0.8702440470777172,0.49253929399604723
148,119850,지엔씨에너지,36150,594628060350,17.186564936589715,2.805627351319588,0.16324538159143634,0.1671527415304854,0.46321019071590525,0.49201962355001105
149,101490,에스앤에스텍,92800,1979876771200,57.099355441180236,7.040448937655936,0.1233017235178515,0.1563716031642948,0.43327083137155625,0.49152393187111404
150,298020,효성티앤씨,386500,1672649093000,27.20775244043876,0.862855331938332,0.031713583612877703,0.08338516618538488,1.9486580946105962,0.49128272779168575
151,051910,LG화학,354000,24989689422000,41.94533681231621,0.5405690409342395,0.012887464543508323,0.06405983822349598,1.130182496991898,0.49113757072401526
152,047050,포스코인터내셔널,63900,11241466153200,22.30432892048352,1.5164995050303522,0.0679912635092846,0.0839968674353212,1.3456181691387525,0.4909143882301113
153,281820,케이씨텍,44650,923822921950,27.304224962618786,1.8094568203534884,0.06627021359627491,0.17506765938679086,0.11832935211101922,0.4897633075407266
154,034230,파라다이스,16960,1567198280640,14.392962471109017,0.7162529763703914,0.04976411060670279,0.05486535011304816,0.8114076476505714,0.48925033741121693
155,025320,시노펙스,7560,696423442680,47.771964504889695,3.9439949093100832,0.0825587758465825,0.17031646481589666,0.49574171365985337,0.48906299824366223
156,010060,OCI,117500,2193752260000,18.4271248106041,0.478529372765765,-0.037256048458346167,0.02766420560603733,0.6998547414269771,0.4890201250863796
157,035760,CJ ENM,71200,1561355764800,13.916110417993384,0.43091241267466845,0.030965003850321797,0.1330163476042107,1.5037456363044819,0.48850404896382293
158,249420,일동제약,39900,1262366254800,69.76835186006564,5.565082286333487,0.07976513903460657,0.2837132946397183,1.5299149544628705,0.4880373417422412
159,120110,코오롱인더,49300,1356691186300,22.961667774256686,0.34009235083696965,0.014811308750763384,0.1206364794500871,0.9300107740290101,0.48773765728871515
160,180640,한진칼,116600,7784481731400,71.02139554463936,2.2954210651493976,0.03232013462346917,0.020576018265658927,0.28110415365438474,0.487611589619504
161,007660,이수페타시스,125400,9205516062600,78.75701380030118,12.866290399008497,0.16336691525192507,0.17061743253019981,0.6306284049124329,0.4875691152908438
162,065350,신성델타테크,72500,1992586230000,133.31114794635224,6.06532334334504,0.0454974954216573,0.07760569440092308,1.8424992670465037,0.48740289145118704
163,051600,한전KPS,57800,2601000000000,24.815749725434326,1.9814094977737176,0.07984483723830103,0.11429052079719884,0.2534179486566217,0.4869143504403901
164,005690,파미셀,14220,853441228080,26.288257126005412,1.8466031621417769,0.05305972112944339,0.10904997296037545,0.828589121390118,0.48637622053132695
165,097950,CJ제일제당,213000,3206541618000,8.39898575724951,0.26247162669632834,0.03125039549802525,0.15438878262027575,1.5081236313277886,0.4862165023256915
166,032640,LG유플러스,16020,6885850247100,16.063739034615008,0.7696777317530937,0.047913983792599646,0.10904997296037545,1.1896164571989627,0.4855993649753426
167,030520,한글과컴퓨터,26550,641972203200,18.94508406443714,1.2549126297332367,0.06623948595133987,0.20929555517724674,0.4109374615046366,0.4855439902807218
168,376900,로킷헬스케어,66300,1038356720700,234.53640941373115,103.90204664036213,-0.24994917480691622,0.2074608084860266,4.230805513378009,0.4855210005433901
169,003550,LG,91400,14095852869000,11.496898487590707,0.4831342161272886,0.0420230044345233,0.05064667504056115,0.10488276041149508,0.4853108645794622
170,005290,동진쎄미켐,48450,2491032234300,38.45809717487346,2.347230360358041,0.0610334502428685,0.11750504790105928,0.8155351434871156,0.48525959187745377
171,088980,맥쿼리인프라,11190,5359137101670,26.288257126005412,1.8466031621417769,0.05305972112944339,0.10904997296037545,0.828589121390118,0.4849207383027511
172,294870,HDC현대산업개발,21350,1407121495500,9.590083268997182,0.43892723314251864,0.04576886569499166,0.04726496232053546,1.5312628772897359,0.48464829047767627
173,011070,LG이노텍,257500,6094280052500,29.681139912334103,1.1108792171231592,0.037427107597762084,0.09318633913297862,1.1409628915218146,0.4845502592928062
174,008930,한미사이언스,40600,2776696930000,32.801789240177705,3.0119348869609017,0.09182227423349498,0.10904997296037545,0.5688586657788797,0.48431717179460443
175,036570,엔씨소프트,232500,5008985115000,14.355922380785522,1.4616446177808866,0.1018147478797464,0.10904997296037545,0.271925968236538,0.4834498733548142
176,051915,LG화학우,178200,1370144160000,26.288257126005412,1.8466031621417769,0.05305972112944339,0.10904997296037545,0.828589121390118,0.48343069483143536
177,214430,아이쓰리시스템,117300,857136319500,91.58511239295542,13.45924476836611,0.14695887155346632,0.19624821657888666,0.34280183213683163,0.4825383644893213
178,000155,두산우,497500,1988239845000,26.288257126005412,1.8466031621417769,0.05305972112944339,0.10904997296037545,0.828589121390118,0.48209222239292127
179,357780,솔브레인,412500,3208658475000,43.746024206590185,2.9212323322635565,0.06677709312435033,0.1171300905366932,0.272174605235369,0.48175895312185296
180,064400,LG씨엔에스,69200,6704507601600,25.634102563531993,2.4315827923402025,0.0948573403852827,0.12948602602885917,0.7072955772776842,0.4812844525380516
181,005930,삼성전자,162400,961349198532800,37.60402668848812,2.324898972512056,0.06182579838514441,0.16636657158415888,0.2664031293681372,0.48110287877146457
182,086280,현대글로비스,240500,18037500000000,13.936433320094299,1.8322167727547025,0.13146956116188738,0.11801657081891814,0.7801667546266828,0.4807954296225089
183,001040,CJ,198300,5785798703400,7.250145635632019,0.33124093377021757,0.0456874869026465,0.19879130140986445,1.7555586586469567,0.4805165504245517
184,375500,DL이앤씨,45000,1741213035000,10.561939325688641,0.34291058891195586,0.032466631206442574,0.06981950830318812,0.9838348205817029,0.4805089010575129
185,011780,금호석유,147900,3850094641800,13.29946993472328,0.6175620242075629,0.04643508555143122,0.05878086085958898,0.3519458078116925,0.4803447931600146
186,237690,에스티팜,150500,3115603442000,132.36784268135068,5.603830080793152,0.042335283005882796,0.11682433629776257,0.358856566592181,0.4800437366361618
187,001440,대한전선,27000,5034077100000,106.16082356108453,3.249705390000442,0.030611154670730053,0.06326629004217996,0.9248430025902187,0.4792506618492894
188,005850,에스엘,57500,2670789900000,10.936156168874492,1.0390378260094872,0.09500941738256297,0.13176931190366326,0.5404410700392757,0.4788279437664124
189,166090,하나머티리얼즈,66700,1319170855800,63.46090451742449,3.0918680513278476,0.048720831744194754,0.08692261350479878,0.4868116326549038,0.4780751072705047
190,045100,한양이엔지,29100,523800000000,15.727979877668906,0.8515768887510071,0.054144072879957296,0.09261492291897691,0.4028488455952671,0.47787508313625937
191,323410,카카오뱅크,23500,11209768769500,26.288257126005412,1.8466031621417769,0.05305972112944339,0.10904997296037545,0.828589121390118,0.4777640115805001
192,036540,SFA반도체,6300,1036099908900,42.527285218564415,2.2066183220584707,-0.03829230713946742,-0.015511851054536402,0.17184164428881113,0.477740688943715
193,100790,미래에셋벤처투자,14890,791025800260,42.527285218564415,2.2027067588453404,0.054475235651939236,0.11903507169756315,2.0083477614610366,0.4768638119454977
194,028050,삼성엔지니어링,32150,6301400000000,13.809744291759127,1.4872977228130493,0.10769915006323356,0.10726956662117483,1.017327246015711,0.4767222108464995
195,336260,두산퓨얼셀,34750,2275906978500,18.4271248106041,4.851641848923048,-0.06434744684015581,0.002332169538743611,1.7810154795949986,0.47654117572959787
196,290650,엘앤씨바이오,74800,1858186312400,229.34895634694897,6.967163025882019,-0.24842703221893053,0.06486622135111463,0.8670074248440967,0.47564076277900225
197,950160,코오롱티슈진,97200,8089106958000,26.288257126005412,1.8466031621417769,0.05305972112944339,0.10904997296037545,0.828589121390118,0.475458167533259
198,074600,원익QnC,27850,732120800000,115.2635299044837,1.2642252942524221,0.010968129253893727,0.11903507169756315,1.6410783320576878,0.4748584776590332
199,397030,에이프릴바이오,58300,1353045405800,26.288257126005412,1.8466031621417769,0.05305972112944339,0.10904997296037545,0.828589121390118,0.4747395185082707
199,455900,엔젤로보틱스,38200,581329624600,26.288257126005412,1.8466031621417769,0.05305972112944339,0.10904997296037545,0.828589121390118,0.4747395185082707
201,035720,다음,61800,27346204596000,48.39932674136966,1.8662081557581653,0.038558556108240466,0.11903507169756315,0.8351676868461679,0.47450694220769446
202,006360,GS건설,18950,1621769235500,33.27931916454374,0.30720685227468675,0.009231163977717106,0.05454715265558404,2.398918965543795,0.47441663893447505
203,015750,성우하이텍,8000,640000000000,5.064552499176383,0.32035844376480066,0.06325503463867709,0.0833427000079568,1.3907650674016383,0.4741484764768126
204,006400,삼성SDI,396500,31952162645000,18.4271248106041,1.3612376186248358,-0.016062195161501928,0.015442935573628358,0.7967353771324466,0.4740823811398649
205,004170,신세계,297500,2869441347500,21.462591063443487,0.4316525922706154,0.020111858395598602,0.19562701537825591,1.3283685776380378,0.47329152548605513
206,022100,포스코 ICT,40850,6210618679650,115.8439294872579,10.833761898738278,0.0935203246876214,0.13198881830503864,0.4122183034770573,0.4731491051962825
207,278280,천보,61000,713118182000,42.527285218564415,1.756063380004212,-0.02175564585059086,0.01590731534838962,1.0513275188348794,0.4729947686656247
